Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Red Shiner,/species-spotlight/red-shiner/,Cyprinellalutrensis,Actinopterygii,Cypriniformes,Leuciscidae,Peaceful,Middle - Top,Omnivore,7.25,10.0,16.1,9.0,NAM,5.4627857,-7.2574873,3.0199955
Red Skirt Betta,/species-spotlight/red-skirt-betta/,BettaFalx,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,All Levels,Omnivore,5.75,6.0,24.45,4.0,AS,8.605344,-7.7395606,-0.9668059
Red Tail Hemiodus Tetra,/species-spotlight/red-tail-hemiodus-tetra/,Hemiodusgracilis,Actinopterygii,Characiformes,Hemiodontidae,Peaceful,Middle - Top,Omnivore,6.5,9.5,24.45,15.0,SA,3.704575,-9.592328,1.9353226
Red Tailed Black Shark,/species-spotlight/red-tailed-black-shark/,Epalzeorhynchosbicolor,Actinopterygii,Cypriniformes,Cyprinidae,Aggressive,Bottom - Middle,Omnivore,7.0,13.0,24.45,16.0,AS,-4.7827287,-3.0181477,-0.18500832
Redbreasted Acara,/species-spotlight/redbreasted-acara/,Laetacaradorsigera,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.25,10.5,23.9,6.0,SA,-8.296199,1.2676448,0.29475018
Redfin Congo Tetra,/species-spotlight/redfin-congo-tetra/,Micralestesoccidentalis,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.5,10.0,23.9,8.0,AF,-6.389357,1.7424716,0.71848243
Redfin Dwarf Rainbowfish,/species-spotlight/redfin-dwarf-rainbowfish/,Melanotaeniamaccullochi,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,6.5,11.5,25.0,7.0,OC,3.0419648,6.453837,-1.849243
Redfin Penguin Tetra,/species-spotlight/redfin-penguin-tetra/,Thayeriasp,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,12.5,25.3,6.0,SA,6.03418,1.5677704,1.0913635
Redline Apistogramma,/species-spotlight/redline-apistogramma/,Apistogrammahongsloi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.25,3.5,25.85,7.5,SA,-8.162285,2.4694133,-3.2020884
Reed Tetra,/species-spotlight/reed-tetra/,Hyphessobryconelachys,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,10.0,25.0,2.5,SA,9.48083,2.355014,1.7133595
Reticulated Corydoras,/species-spotlight/reticulated-corydoras/,Corydorasreticulatas,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,6.0,SA,-12.126822,-2.2331305,1.1573948
Rohani Barb,/species-spotlight/rohani-barb/,DawkinsiaRohani,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.75,6.0,21.95,12.0,AS,-4.1822157,0.2938186,-1.6498982
Rose Danio,/species-spotlight/rose-danio/,Danioroseus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,23.05,4.0,AS,-6.925942,5.335843,0.8953924
Rosy Barb,/species-spotlight/rosy-barb/,Puntiusconchonius,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,6.5,12.0,20.0,14.0,AS,-5.255691,-2.397565,-1.5988365
Rosy Tetra,/species-spotlight/rosy-tetra/,Hyphessobryconrosaceus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.85,4.0,SA,11.547753,-0.03860739,0.19701798
Royal Plecostomus,/species-spotlight/royal-plecostomus/,Panaquenigrolineatus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,7.0,15.0,26.1,43.0,SA,0.6515279,-5.48316,-0.19657196
Royal Whiptail Catfish,/species-spotlight/royal-whiptail-catfish/,Sturisomapanamense,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,7.0,10.0,23.05,20.0,SA,2.7620819,-3.7552452,-0.2213275
Ruby Rasbora,/species-spotlight/ruby-rasbora/,Paedocyprisprogenetica,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle,Omnivore,3.5,2.5,29.2,1.0,AS,-8.549646,7.3297276,-2.1652923
Ruby Tetra,/species-spotlight/ruby-tetra/,Axelrodiariesei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,5.5,7.5,23.9,2.5,SA,11.1332855,0.1506464,1.8017906
Rummy Nose Rasbora,/species-spotlight/rummy-nose-rasbora/,Sawbwaresplendens,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,7.0,9.0,22.8,3.5,AS,-7.1078596,6.169248,1.4464273
Rummy Nose Tetra,/species-spotlight/rummy-nose-tetra/,Hemigrammusrhodostomus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,7.0,8.5,25.55,3.0,SA,10.360201,0.9559607,1.6534982
Rusty Corydoras,/species-spotlight/rusty-corydoras/,Corydorasrabauti,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,8.5,24.45,6.5,SA,-12.532289,1.1258055,-2.378613
Saddleback Loach,/species-spotlight/saddleback-loach/,HomalopteraOrthogoniata,Actinopterygii,Cypriniformes,Balitoridae,Peaceful,Bottom,Omnivore,6.75,7.5,22.8,12.5,AS,5.29653,-3.9573627,0.67760545
Sahul Rainbowfish,/species-spotlight/sahul-rainbowfish/,Melanotaeniasahulensis,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,6.75,12.5,25.0,5.5,OC,3.3091197,6.4929166,-1.4148276
Sailfin Tetra,/species-spotlight/sailfin-tetra/,Crenuchusspilurus,Actinopterygii,Characiformes,Crenuchidae,Peaceful,Bottom - Middle,Omnivore,5.5,3.0,23.9,5.5,SA,12.946484,-2.0320523,0.37539488
Salt and Pepper Corydoras,/species-spotlight/salt-and-pepper-corydoras/,Corydorashabrosus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,12.5,23.9,3.5,SA,-13.816623,-1.5651236,2.0128458
Samurai Gourami,/species-spotlight/samurai-gourami/,Sphaerichthysvaillanti,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,All Levels,Omnivore,5.0,27.5,27.5,8.0,AS,4.554013,-8.203438,-3.349279
